seed,hypervolume,spread,spacing,pf_size,time,f1_max,f2_max,f1_min,f2_min,dataset,task,model,algorithm
8527,499.83012820512823,1.553464086296208,36.97003944088319,16,347.0696687698364,0.9596153846153846,616.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
2114,467.5967948717949,1.5571787101347654,55.333927174321424,15,325.50310468673706,0.9596153846153846,616.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
4033,443.89935897435896,1.2986458030396775,3.2265706576187343,15,319.862820148468,0.958974358974359,316.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
7445,470.55320512820515,1.6167814983523663,4.078635720622075,17,327.33748412132263,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
1174,484.1807692307692,1.639065089998279,1.0489717839140917,16,327.23395586013794,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
3857,506.53012820512816,1.5945512451644717,6.588654550114192,20,333.9647078514099,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
7422,472.0775641025641,1.5659200640094573,1.8802210611271264,13,319.18636178970337,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
8445,487.13589743589745,1.5659063588881714,1.828605700745124,13,342.6278579235077,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
5357,468.5166666666667,1.5741469432047284,5690.95200538126,16,331.40417098999023,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
1746,486.34679487179477,1.5907960162447567,0.42517111928724355,13,326.2775511741638,0.9596153846153846,616.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
3378,522.696153846154,1.513963157080048,15.88176356331867,13,342.1002039909363,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
5206,507.7160256410256,1.6065943408807561,6090.067502833593,16,330.76847076416016,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
9235,463.2461538461538,1.4826446487624605,25.72232181280258,12,320.8168818950653,0.9596153846153846,616.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
8185,502.25128205128203,1.6464923741752737,4577.579330144425,20,333.98494696617126,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
8577,483.1346153846153,1.5496811756127329,7555.834142654542,13,332.2230050563812,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
9616,465.73910256410255,1.597303131575869,0.04768707147553301,21,332.25039505958557,0.9596153846153846,616.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
6067,446.2544871794871,1.526635208862747,6033.071145449513,14,334.1854021549225,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
1770,436.77051282051286,1.4019846145115518,8447.875030339137,10,329.1963348388672,0.9596153846153846,616.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
9305,505.01666666666665,1.5416710008835512,5597.144521525039,16,339.2428719997406,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
5510,482.49615384615385,1.5643970232598472,5445.937871683582,16,335.000333070755,0.958974358974359,617.0,0.08717948717948718,1.0,isolet,classification,LogReg,replica
8527,610.1384615384618,1.0862467525055175,45.6294822416622,53,767.3134820461273,0.9634615384615385,358.0,0.14166666666666666,1.0,isolet,classification,LogReg,my
2114,606.7724358974357,1.307240877759624,1670.5270910482993,60,796.4000611305237,0.9608974358974359,613.0,0.15833333333333333,1.0,isolet,classification,LogReg,my
4033,608.3570512820512,1.0755892299754775,45.13543592427674,55,837.2425022125244,0.9653846153846154,488.0,0.15833333333333333,1.0,isolet,classification,LogReg,my
7445,606.8987179487181,0.9994580862888939,128.7475374855148,62,839.9156510829926,0.9692307692307692,459.0,0.13846153846153847,1.0,isolet,classification,LogReg,my
1174,609.2211538461539,1.0338367521410623,6.732988413216572,65,823.203125,0.9641025641025641,349.0,0.15833333333333333,1.0,isolet,classification,LogReg,my
3857,607.3653846153846,1.1064452123586224,13.029734192165778,61,792.030357837677,0.9634615384615385,445.0,0.15833333333333333,1.0,isolet,classification,LogReg,my
7422,607.6493589743592,0.975049221338167,39.145226747809005,55,844.5947139263153,0.9673076923076923,448.0,0.15833333333333333,1.0,isolet,classification,LogReg,my
8445,608.1224358974357,1.0543211663590708,42.20469322719631,61,761.6379578113556,0.9634615384615385,340.0,0.13846153846153847,1.0,isolet,classification,LogReg,my
5357,607.2012820512824,0.9350775971541775,22.753918732263383,60,805.96524310112,0.9641025641025641,411.0,0.15833333333333333,1.0,isolet,classification,LogReg,my
1746,608.2506410256414,1.1943358753624969,528.689316633496,52,793.7521018981934,0.9628205128205128,500.0,0.14166666666666666,1.0,isolet,classification,LogReg,my
3378,608.5737179487179,1.0308021502489,29.542995093527214,51,791.4221999645233,0.9608974358974359,296.0,0.15833333333333333,1.0,isolet,classification,LogReg,my
5206,608.6442307692312,0.9694921416108876,18.775949684282164,53,772.6168668270111,0.9621794871794872,277.0,0.15833333333333333,1.0,isolet,classification,LogReg,my
9235,608.0967948717945,1.0924833049454916,6.842531331915948,56,799.1552069187164,0.9615384615384616,356.0,0.14102564102564102,1.0,isolet,classification,LogReg,my
8185,607.7115384615387,1.1192307993139856,488.8180437724273,55,817.4293019771576,0.9628205128205128,459.0,0.13846153846153847,1.0,isolet,classification,LogReg,my
8577,608.463461538461,1.186407521556514,15.764352965959558,50,790.967325925827,0.9615384615384616,481.0,0.1391025641025641,1.0,isolet,classification,LogReg,my
9616,609.8378205128201,0.9581910184906135,4.12397289760036,59,752.1507642269135,0.9621794871794872,247.0,0.14102564102564102,1.0,isolet,classification,LogReg,my
6067,607.6512820512818,0.9674842335063684,149.85297140145886,47,830.3385879993439,0.9647435897435898,415.0,0.14102564102564102,1.0,isolet,classification,LogReg,my
1770,610.3634615384618,0.9847760455964161,31.973650748198683,50,769.0918929576874,0.9634615384615385,347.0,0.14166666666666666,1.0,isolet,classification,LogReg,my
9305,608.2852564102561,1.0485606534347538,58.32399882049042,56,786.6655580997467,0.9634615384615385,384.0,0.14102564102564102,1.0,isolet,classification,LogReg,my
5510,609.8974358974358,1.315401068652378,375.31976268700765,50,776.3098480701447,0.9628205128205128,457.0,0.14166666666666666,1.0,isolet,classification,LogReg,my
8527,419.4288461538461,0.9558441645418815,11.807022667503436,11,1289.134370803833,0.9666666666666667,269.0,0.9423076923076923,205.0,isolet,classification,LogReg,nsga2
2114,430.47243589743584,0.9320887920327146,26.406361178543136,13,1281.7127330303192,0.9666666666666667,291.0,0.9416666666666667,194.0,isolet,classification,LogReg,nsga2
4033,429.4891025641025,0.9522726735660929,6.488428769947999,11,1277.108892917633,0.9673076923076923,278.0,0.9314102564102564,195.0,isolet,classification,LogReg,nsga2
7445,422.3435897435898,0.9435065749571969,9.486889718187795,11,1281.5443542003632,0.9666666666666667,268.0,0.9397435897435897,202.0,isolet,classification,LogReg,nsga2
1174,427.0192307692307,0.9480520485478753,6.190895686879414,13,1288.1370210647583,0.966025641025641,280.0,0.941025641025641,197.0,isolet,classification,LogReg,nsga2
3857,419.449358974359,0.9902597543414425,191.9487213730002,3,1261.3349268436432,0.966025641025641,235.0,0.9602564102564103,205.0,isolet,classification,LogReg,nsga2
7422,422.2929487179487,0.9425325513112512,39.55355953021338,11,1274.911913394928,0.9698717948717949,296.0,0.9435897435897436,203.0,isolet,classification,LogReg,nsga2
8445,419.5249999999999,0.960714377801791,9.456480522682444,11,1258.3226149082184,0.9666666666666667,264.0,0.9519230769230769,205.0,isolet,classification,LogReg,nsga2
5357,429.89615384615377,0.9312772195708751,23.600857440280517,13,1287.0789980888367,0.9653846153846154,289.0,0.9435897435897436,194.0,isolet,classification,LogReg,nsga2
1746,435.3032051282051,0.9543649539035968,30.438615877712024,10,1267.9543240070343,0.9666666666666667,260.0,0.9282051282051282,189.0,isolet,classification,LogReg,nsga2
3378,435.9775641025641,0.9461967644572841,54.058536688738606,15,1345.1168479919434,0.966025641025641,302.0,0.9391025641025641,188.0,isolet,classification,LogReg,nsga2
5206,428.3788461538462,0.9772726807257535,2.0251807450325083,9,1284.2361557483673,0.966025641025641,227.0,0.9397435897435897,196.0,isolet,classification,LogReg,nsga2
9235,429.8205128205129,0.9649351407620014,56.364628376964916,11,1294.8845160007477,0.9647435897435898,276.0,0.9461538461538461,194.0,isolet,classification,LogReg,nsga2
8185,424.6012820512821,0.9634741013658276,15.499044214332676,9,1249.5039348602295,0.9692307692307692,256.0,0.9512820512820512,201.0,isolet,classification,LogReg,nsga2
8577,428.57051282051276,0.9597402967696506,18.6448365459327,11,1319.7165758609772,0.9666666666666667,259.0,0.9397435897435897,196.0,isolet,classification,LogReg,nsga2
9616,416.92692307692306,0.9669913723537513,8.998721267637688,13,1298.7290880680084,0.9711538461538461,267.0,0.95,209.0,isolet,classification,LogReg,nsga2
6067,416.89166666666665,0.9446576857539174,10.96115416990417,12,1270.263175725937,0.967948717948718,281.0,0.9487179487179487,208.0,isolet,classification,LogReg,nsga2
1770,423.45641025641027,0.9721707259841389,57.68070453384757,8,1282.513720035553,0.966025641025641,277.0,0.95,201.0,isolet,classification,LogReg,nsga2
9305,411.6589743589743,0.9814470316700106,33.6766821566521,8,1309.3747069835663,0.9673076923076923,273.0,0.9474358974358974,213.0,isolet,classification,LogReg,nsga2
5510,426.9025641025641,0.9577922368153754,88.95386578288573,13,1311.3153820037842,0.9653846153846154,284.0,0.933974358974359,197.0,isolet,classification,LogReg,nsga2
