model,mean_hv,std_hv,population_size,generations,seeding_prop,ones_prop,crossover_prob,mutation_prob,ls_start,ls_end
SVC,32.31267605633803,0.14728919957635422,100,20,0.4,0.01,0.6,0.09,0.2,0.7
SVC,32.44788732394366,0.18672465824424295,100,20,0.35,0.03,1.0,0.09,0.2,0.4
SVC,32.4,0.20441467669326074,100,20,0.15,0.0,0.5,0.01,0.15,0.5
SVC,32.5774647887324,0.15759550119097876,100,20,0.25,0.05,0.5,0.09,0.15,0.3
SVC,32.40845070422535,0.1786013237650408,100,20,0.4,0.05,0.9,0.03,0.15,0.3
SVC,32.5943661971831,0.15693958622179244,100,20,0.2,0.02,0.9,0.09,0.2,0.5
SVC,32.33802816901409,0.120173121170149,100,20,0.15,0.01,0.5,0.07,0.15,0.4
SVC,32.352112676056336,0.13420990703742877,100,20,0.15,0.04,0.8,0.03,0.3,0.7
SVC,32.42253521126761,0.1908437711093434,100,20,0.15,0.05,0.5,0.01,0.05,0.4
SVC,32.48169014084507,0.1584491392723966,100,20,0.3,0.03,0.9,0.1,0.25,0.7
SVC,32.40845070422536,0.18600083401936954,100,20,0.4,0.02,0.6,0.01,0.3,0.7
SVC,32.414084507042254,0.19200443028678188,100,20,0.3,0.03,0.5,0.1,0.15,0.3
SVC,32.492957746478865,0.15859930434094932,100,20,0.4,0.01,0.9,0.03,0.1,0.7
SVC,32.49295774647887,0.18014959949655915,100,20,0.3,0.03,0.5,0.03,0.25,0.5
SVC,32.4,0.16367142587418476,100,20,0.35,0.04,0.5,0.09,0.1,0.7
SVC,32.388732394366194,0.19076059665731668,100,20,0.25,0.0,0.4,0.05,0.2,0.8
SVC,32.49577464788732,0.18672465824424306,100,20,0.15,0.05,0.7,0.05,0.05,0.4
SVC,32.51830985915493,0.18199014428409224,100,20,0.1,0.05,0.9,0.01,0.05,0.7
SVC,32.47323943661972,0.1835530654382504,100,20,0.15,0.05,0.7,0.09,0.1,0.7
SVC,32.50422535211268,0.1766805834430055,100,20,0.2,0.01,0.6,0.09,0.05,0.5
SVC,32.33521126760563,0.10778099419554456,100,20,0.3,0.0,0.6,0.07,0.15,0.3
SVC,32.484507042253526,0.15774647887324145,100,20,0.1,0.0,1.0,0.03,0.25,0.4
SVC,32.292957746478876,0.18841680572609334,100,20,0.2,0.0,0.4,0.1,0.2,0.7
SVC,32.51267605633802,0.20089069667240042,100,20,0.3,0.02,0.9,0.1,0.15,0.4
SVC,32.416901408450705,0.178512445270477,100,20,0.3,0.04,0.7,0.09,0.3,0.7
SVC,32.64507042253521,0.027310872436147618,100,20,0.35,0.01,0.7,0.05,0.3,0.5
DT,31.828169014084505,0.16816689077858568,100,20,0.3,0.02,0.6,0.01,0.15,0.3
DT,31.91267605633803,0.013799942212862959,100,20,0.1,0.05,0.9,0.03,0.05,0.4
DT,31.64788732394366,0.21285786464577816,100,20,0.2,0.04,0.5,0.09,0.2,0.7
DT,31.650704225352115,0.3513117651856629,100,20,0.1,0.05,0.6,0.09,0.05,0.5
DT,31.814084507042253,0.18199014428409332,100,20,0.15,0.02,0.6,0.01,0.3,0.7
DT,31.819718309859162,0.1705098135258788,100,20,0.4,0.02,0.8,0.07,0.1,0.7
DT,31.825352112676057,0.18740335074343736,100,20,0.1,0.04,0.7,0.03,0.1,0.4
DT,31.90422535211268,0.013799942212862522,100,20,0.3,0.05,0.9,0.07,0.05,0.8
DT,31.65633802816901,0.34090326589674796,100,20,0.15,0.02,0.9,0.03,0.3,0.8
DT,31.91267605633803,0.010539879962743246,100,20,0.15,0.04,0.7,0.07,0.05,0.5
DT,31.91267605633803,0.0056338028169008675,100,20,0.2,0.05,1.0,0.05,0.3,0.4
DT,31.91830985915493,0.010539879962743625,100,20,0.15,0.01,0.7,0.03,0.15,0.4
DT,31.811267605633798,0.16655487886303796,100,20,0.25,0.01,0.6,0.09,0.2,0.4
DT,31.82253521126761,0.18612877224430388,100,20,0.25,0.0,0.6,0.03,0.2,0.4
DT,31.8169014084507,0.16328311826692554,100,20,0.35,0.03,0.8,0.09,0.05,0.5
DT,31.740845070422534,0.2140845070422556,100,20,0.3,0.02,0.7,0.03,0.1,0.5
DT,31.828169014084505,0.17532807120671048,100,20,0.2,0.01,0.4,0.07,0.25,0.6
DT,31.898591549295777,0.03136768655115594,100,20,0.15,0.01,0.9,0.07,0.25,0.8
DT,31.8169014084507,0.18363950437190757,100,20,0.35,0.0,1.0,0.09,0.3,0.7
DT,31.805633802816903,0.16019230657028904,100,20,0.4,0.03,0.9,0.09,0.15,0.6
DT,31.780281690140846,0.16985705275134116,100,20,0.4,0.04,0.4,0.03,0.2,0.5
DT,31.802816901408455,0.16569511177299062,100,20,0.35,0.0,0.6,0.07,0.25,0.8
DT,31.642253521126758,0.20089069667240098,100,20,0.4,0.03,0.6,0.09,0.25,0.6
DT,31.56901408450704,0.32235987607707095,100,20,0.3,0.04,0.9,0.01,0.3,0.7
DT,31.90422535211268,0.010539879962743625,100,20,0.2,0.0,0.8,0.07,0.2,0.5
DT,31.647887323943657,0.20738211064006967,100,20,0.25,0.02,0.8,0.09,0.3,0.7
DT,31.546478873239437,0.30448606460555944,100,20,0.2,0.03,0.4,0.07,0.1,0.6
DT,31.822535211267603,0.16487899297647404,100,20,0.3,0.0,0.5,0.01,0.1,0.4
DT,31.73802816901408,0.2002973389817626,100,20,0.35,0.03,0.8,0.05,0.2,0.8
DT,31.72957746478873,0.21068464170496223,100,20,0.3,0.01,0.4,0.03,0.2,0.7
DT,31.828169014084505,0.17532807120671046,100,20,0.15,0.03,1.0,0.05,0.1,0.3
DT,31.740845070422534,0.20826028607633526,100,20,0.15,0.02,1.0,0.05,0.1,0.7
DT,31.825352112676057,0.17355404845914923,100,20,0.1,0.02,0.5,0.03,0.25,0.6
DT,31.56056338028169,0.31699842020586577,100,20,0.1,0.05,0.4,0.05,0.1,0.6
DT,31.825352112676057,0.17355404845914954,100,20,0.4,0.03,0.9,0.07,0.05,0.3
DT,31.825352112676057,0.17332529648355263,100,20,0.35,0.0,0.7,0.01,0.15,0.6
DT,31.698591549295777,0.19076059665731984,100,20,0.4,0.05,0.4,0.09,0.25,0.4
DT,31.501408450704226,0.21352781586757577,100,20,0.3,0.04,0.7,0.07,0.15,0.8
DT,31.816901408450708,0.17636592498590156,100,20,0.3,0.02,0.7,0.09,0.2,0.8
DT,31.82253521126761,0.17194639393838904,100,20,0.15,0.05,0.7,0.09,0.05,0.7
DT,31.701408450704225,0.19706233726639938,100,20,0.35,0.05,0.6,0.09,0.3,0.5
DT,31.6112676056338,0.16844976211522564,100,20,0.4,0.04,0.4,0.1,0.2,0.4
DT,31.746478873239436,0.21285786464577752,100,20,0.25,0.03,1.0,0.01,0.2,0.3
DT,31.780281690140846,0.1809406969324151,100,20,0.15,0.0,0.7,0.09,0.05,0.5
DT,31.797183098591546,0.1751469471178595,100,20,0.35,0.01,0.9,0.07,0.3,0.7
DT,31.566197183098588,0.181990144284093,100,20,0.2,0.05,0.5,0.09,0.25,0.4
DT,31.659154929577465,0.20936230057534955,100,20,0.3,0.03,0.7,0.09,0.25,0.4
DT,31.740845070422534,0.20826028607633526,100,20,0.4,0.0,0.6,0.09,0.15,0.7
DT,31.830985915492953,0.16924866350197182,100,20,0.25,0.01,0.4,0.09,0.1,0.5
DT,31.907042253521126,0.0068999711064308255,100,20,0.25,0.0,0.7,0.01,0.15,0.3
DT,31.828169014084505,0.16793080068494745,100,20,0.25,0.01,1.0,0.09,0.2,0.4
DT,31.653521126760563,0.22011520671083304,100,20,0.15,0.05,0.8,0.03,0.2,0.6
DT,31.740845070422534,0.21389910429937822,100,20,0.25,0.01,0.4,0.01,0.25,0.8
DT,31.73521126760563,0.20379264504435093,100,20,0.2,0.05,1.0,0.03,0.05,0.8
DT,31.825352112676057,0.17355404845914954,100,20,0.35,0.0,0.8,0.01,0.05,0.4
DT,31.74366197183098,0.20573024942546955,100,20,0.3,0.04,1.0,0.09,0.05,0.5
DT,31.825352112676057,0.16631650049719138,100,20,0.3,0.01,0.7,0.09,0.2,0.4
DT,31.819718309859155,0.17869015805243854,100,20,0.35,0.05,0.6,0.09,0.1,0.6
DT,31.828169014084505,0.16793080068494745,100,20,0.15,0.04,0.6,0.09,0.15,0.6
DT,31.72957746478873,0.21699284701488447,100,20,0.25,0.05,0.7,0.07,0.3,0.8
DT,31.814084507042253,0.16910795515271834,100,20,0.4,0.0,0.5,0.01,0.25,0.5
DT,31.811267605633805,0.16391365099691657,100,20,0.1,0.03,1.0,0.03,0.1,0.5
DT,31.56901408450704,0.17332529648355294,100,20,0.35,0.0,0.8,0.1,0.1,0.3
DT,31.878873239436622,0.04846380432136639,100,20,0.3,0.02,0.7,0.09,0.3,0.8
DT,31.73802816901408,0.21184896537423603,100,20,0.1,0.02,0.5,0.01,0.2,0.8
DT,31.822535211267603,0.17917795936664213,100,20,0.3,0.05,0.9,0.1,0.3,0.5
DT,31.825352112676057,0.16631650049719104,100,20,0.25,0.0,0.9,0.05,0.2,0.7
DT,31.825352112676057,0.16655487886303863,100,20,0.4,0.0,0.9,0.07,0.3,0.5
DT,31.907042253521126,0.014363435249556737,100,20,0.15,0.03,0.6,0.07,0.05,0.8
DT,31.645070422535206,0.23473427218027926,100,20,0.1,0.0,0.5,0.03,0.2,0.7
DT,31.91830985915493,0.0056338028169008675,100,20,0.2,0.04,0.8,0.1,0.05,0.7
DT,31.830985915492953,0.1692486635019715,100,20,0.3,0.01,0.9,0.05,0.1,0.8
DT,31.909859154929574,0.006899971106432566,100,20,0.15,0.04,1.0,0.09,0.2,0.8
DT,31.833802816901414,0.1775765353518266,100,20,0.2,0.02,0.6,0.09,0.15,0.8
DT,31.707042253521127,0.1903024873696303,100,20,0.4,0.03,0.7,0.05,0.1,0.5
DT,31.915492957746476,0.00890782439483965,100,20,0.35,0.04,0.9,0.09,0.2,0.3
DT,31.746478873239436,0.21285786464577755,100,20,0.35,0.05,0.4,0.1,0.15,0.6
DT,31.825352112676057,0.17355404845914954,100,20,0.2,0.0,1.0,0.07,0.25,0.5
DT,31.64788732394366,0.19576958145233037,100,20,0.35,0.0,0.4,0.05,0.25,0.7
DT,31.60845070422535,0.20573024942546772,100,20,0.2,0.01,0.7,0.03,0.25,0.7
DT,31.71830985915493,0.18748801456105874,100,20,0.25,0.01,0.9,0.03,0.05,0.7
DT,31.65633802816901,0.2059615370189427,100,20,0.35,0.04,1.0,0.1,0.3,0.6
DT,31.828169014084505,0.17487490924133975,100,20,0.15,0.0,0.7,0.01,0.05,0.4
DT,31.73802816901408,0.21166160444134485,100,20,0.2,0.04,1.0,0.05,0.2,0.7
DT,31.653521126760563,0.2082602860763353,100,20,0.35,0.03,0.8,0.01,0.05,0.8
DT,31.74366197183099,0.2104962444199394,100,20,0.35,0.03,0.4,0.09,0.15,0.3
DT,31.805633802816896,0.16626878381266355,100,20,0.15,0.01,0.5,0.03,0.3,0.7
DT,31.738028169014086,0.3480440999312091,100,20,0.1,0.0,0.9,0.1,0.25,0.4
DT,31.52112676056338,0.1371342134607131,100,20,0.25,0.05,0.6,0.1,0.25,0.6
DT,31.57183098591549,0.16487899297647474,100,20,0.4,0.01,0.9,0.07,0.15,0.7
DT,31.909859154929574,0.014363435249557296,100,20,0.2,0.05,1.0,0.1,0.3,0.5
DT,31.661971830985912,0.21874105530498456,100,20,0.35,0.04,0.8,0.03,0.1,0.5
DT,31.73521126760563,0.20359787041794847,100,20,0.25,0.03,0.6,0.05,0.2,0.5
DT,31.712676056338022,0.23341219702385152,100,20,0.25,0.01,0.4,0.07,0.2,0.3
DT,31.816901408450708,0.17614082479846477,100,20,0.2,0.02,1.0,0.09,0.1,0.5
DT,31.478873239436616,0.26304490208290204,100,20,0.4,0.05,0.5,0.03,0.2,0.6
DT,31.746478873239436,0.2069991331929474,100,20,0.2,0.02,0.8,0.03,0.3,0.8
DT,31.819718309859155,0.16410717367470112,100,20,0.2,0.05,0.5,0.1,0.3,0.7
DT,31.709859154929575,0.19710259926237905,100,20,0.2,0.05,0.9,0.03,0.2,0.4
DT,31.915492957746476,0.00890782439483965,100,20,0.25,0.01,0.8,0.03,0.05,0.7
