model,mean_hv,std_hv,population_size,generations,seeding_prop,ones_prop,crossover_prob,mutation_prob,ls_start,ls_end
LinReg,55.8239342952422,0.10789008353362173,100,20,0.4,0.05,0.4,0.03,0.15,0.5
LinReg,56.123054130179945,0.0863314001256957,100,20,0.4,0.04,1.0,0.07,0.15,0.8
LinReg,56.1218593936609,0.09889037517402476,100,20,0.25,0.03,0.9,0.03,0.05,0.5
LinReg,55.978271491436,0.08914157319484439,100,20,0.35,0.03,0.9,0.07,0.25,0.8
LinReg,56.01484647233981,0.11325450079858745,100,20,0.15,0.02,0.7,0.09,0.05,0.8
LinReg,56.17086272182892,0.09522899917844399,100,20,0.35,0.01,1.0,0.03,0.25,0.7
LinReg,55.75634109955803,0.18714058225403518,100,20,0.15,0.01,0.5,0.05,0.2,0.8
LinReg,55.80503956513602,0.10507612399702353,100,20,0.25,0.0,0.4,0.03,0.1,0.4
LinReg,55.97076686664791,0.12535792293821732,100,20,0.25,0.03,0.6,0.05,0.3,0.5
LinReg,55.77330017488239,0.07510679204085527,100,20,0.25,0.01,0.4,0.01,0.3,0.6
LinReg,55.787948805506076,0.13215325657063923,100,20,0.4,0.04,0.5,0.09,0.2,0.8
LinReg,56.23875132709384,0.1409365297476827,100,20,0.2,0.04,1.0,0.07,0.2,0.5
LinReg,56.121616826837034,0.2046644694242645,100,20,0.2,0.02,0.9,0.09,0.05,0.5
LinReg,56.05427213585417,0.08056517291966031,100,20,0.4,0.05,0.8,0.05,0.3,0.5
LinReg,55.6576649585308,0.05346800541924564,100,20,0.3,0.03,0.4,0.05,0.3,0.7
LinReg,55.98194698261301,0.14688415694628423,100,20,0.4,0.05,0.7,0.03,0.1,0.7
LinReg,56.02063217161608,0.250021809424926,100,20,0.4,0.01,0.7,0.09,0.1,0.7
LinReg,55.8838306283057,0.16681753633778723,100,20,0.3,0.04,0.5,0.07,0.3,0.7
LinReg,56.12345606007102,0.2006566144783934,100,20,0.1,0.05,0.8,0.09,0.1,0.5
LinReg,55.746664597579965,0.14063075603516395,100,20,0.1,0.04,0.4,0.1,0.05,0.6
LinReg,55.849215996105976,0.25804171681413196,100,20,0.4,0.03,0.4,0.07,0.3,0.4
LinReg,56.12000530342154,0.13103600887357622,100,20,0.25,0.04,0.8,0.01,0.05,0.3
LinReg,56.06209337516445,0.12918097567823275,100,20,0.15,0.01,0.7,0.01,0.2,0.4
LinReg,56.13248193387958,0.15767399252801448,100,20,0.15,0.0,0.9,0.05,0.3,0.8
LinReg,56.029385086368094,0.10949491558657709,100,20,0.15,0.02,0.7,0.07,0.1,0.6
LinReg,55.877600101603754,0.17546915606510424,100,20,0.4,0.03,0.7,0.1,0.25,0.8
LinReg,56.03259169945304,0.13475283403883873,100,20,0.3,0.04,0.6,0.09,0.1,0.7
LinReg,55.95143390344056,0.13216409341057206,100,20,0.2,0.04,0.6,0.09,0.05,0.4
LinReg,55.76444483385502,0.17836886606040095,100,20,0.35,0.03,0.5,0.03,0.3,0.7
LinReg,56.18385806758586,0.21020138703335015,100,20,0.2,0.04,0.9,0.01,0.3,0.5
LinReg,56.002984654691716,0.07477080559286572,100,20,0.15,0.0,0.6,0.1,0.15,0.6
LinReg,56.028057049326925,0.17712865977640765,100,20,0.3,0.04,0.8,0.07,0.3,0.5
LinReg,56.033774070959225,0.13499495717643406,100,20,0.15,0.05,0.7,0.01,0.15,0.8
LinReg,56.14213094408901,0.025942059739528782,100,20,0.35,0.03,1.0,0.1,0.1,0.5
LinReg,55.994295093785595,0.19676280065530488,100,20,0.1,0.03,0.7,0.05,0.3,0.6
LinReg,56.01672098006628,0.04814771065318194,100,20,0.25,0.01,0.4,0.07,0.15,0.5
LinReg,55.95382034893521,0.05264823586375978,100,20,0.2,0.0,0.4,0.01,0.1,0.8
LinReg,56.17193504121842,0.03823130413996264,100,20,0.4,0.02,0.9,0.01,0.05,0.6
LinReg,56.11660397380545,0.14422139892398592,100,20,0.15,0.0,0.8,0.07,0.15,0.8
LinReg,56.14265331871699,0.06483191856812243,100,20,0.4,0.0,0.9,0.03,0.25,0.6
LinReg,55.651247812461996,0.1494566081682729,100,20,0.4,0.03,0.4,0.01,0.3,0.8
LinReg,55.837086304806085,0.0887899766630033,100,20,0.2,0.03,0.5,0.1,0.05,0.8
LinReg,55.96400693521465,0.0878943063868003,100,20,0.1,0.05,0.6,0.03,0.1,0.7
LinReg,56.09099984709447,0.08527239057946051,100,20,0.1,0.05,0.8,0.07,0.15,0.4
LinReg,56.01735652806583,0.12470786385176462,100,20,0.3,0.02,0.9,0.07,0.3,0.6
LinReg,56.11883828313004,0.1597178841452038,100,20,0.3,0.01,1.0,0.03,0.2,0.7
LogReg,30.830985915492953,0.14168762073193425,100,20,0.25,0.0,0.5,0.01,0.15,0.8
LogReg,30.833802816901407,0.15206050226778334,100,20,0.2,0.01,0.6,0.1,0.25,0.5
LogReg,30.822535211267603,0.1691548709408727,100,20,0.15,0.04,0.7,0.01,0.2,0.5
LogReg,30.940845070422533,0.0164252166051995,100,20,0.35,0.0,0.8,0.03,0.05,0.4
LogReg,30.98591549295774,0.18812177867114263,100,20,0.15,0.0,0.5,0.03,0.05,0.4
LogReg,30.85070422535211,0.15211267605633716,100,20,0.2,0.05,0.5,0.03,0.15,0.3
LogReg,31.047887323943662,0.16245488287657556,100,20,0.1,0.05,1.0,0.09,0.15,0.6
